DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
2005-07-01,0.019613679226820224,0.007097349908178785,0.007037182598767622,0.0044527285663455984,0.008143285363618524,0
2005-08-01,0.020687666146503858,0.007576550897781864,0.00711096911794229,0.004395422116703962,0.008469810030480751,0
2005-09-01,0.02121308184751669,0.008104764232803596,0.007223772723945032,0.004596221088607244,0.00887262917516729,0
2005-10-01,0.021697355632799287,0.008842390047409943,0.007316492622201132,0.005333265055193159,0.00891002162974619,0
2005-11-01,0.021847754711911804,0.009445751332195051,0.007438811530470879,0.0064046848088956665,0.008720594931431513,0
2005-12-01,0.021484277937785734,0.009642208809062858,0.0075530674090700245,0.007059474013969336,0.008370607715655787,0
2006-01-01,0.020976296185470034,0.010154404142593165,0.007753762413607923,0.007896586916461779,0.008396888448022999,0
2006-02-01,0.02037825519466807,0.011298661217217898,0.00802064158576421,0.009220438529190744,0.009185948936314858,0
2006-03-01,0.01953737828303126,0.01288000729237293,0.008496081904571184,0.010336352434798357,0.010607266165728824,0
2006-04-01,0.01823671470869037,0.014374434745286102,0.00903389297591417,0.010819618167118072,0.0122792308355546,0
2006-05-01,0.016512338028077167,0.015774428459629064,0.009540638556721603,0.01075111737085166,0.014024907608916948,0
2006-06-01,0.014843853790457828,0.016857520150249883,0.010137099356732016,0.010304390033513577,0.015500198935183285,0
2006-07-01,0.014199864645650706,0.017099232642305395,0.010735864257049421,0.009661534828635965,0.01627774157952455,0
2006-08-01,0.014076718242808539,0.016507429817050223,0.01125969030963958,0.008895945185371623,0.016201196211838464,0
2006-09-01,0.013644017291319699,0.015588601901280086,0.0116862287819961,0.008084378642154277,0.015608532462687563,0
2006-10-01,0.012985043530381546,0.015028747270526388,0.012065683030455965,0.007312259473909677,0.01512444947923619,0
2006-11-01,0.012441235397691486,0.014819933500425542,0.01228395915802416,0.006624016448545156,0.01465049352326453,0
2006-12-01,0.01201270717649372,0.015021360372555748,0.012325401515028034,0.006232312646337945,0.014181879718630164,0
